KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,DATA_PROVIDER,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,EMBARGO_TIME,COMMENT_OBS,PRE_BREAK_VALUE,CONF_STATUS,OBS_STATUS,TRANSFORMATION,COMMENT_TS,TIME_PER_COLLECT,ADJU_DETAIL,UPDATE_STATUS,TIME_FORMAT,BREAKS,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,UNIT_INDEX_BASE,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,COMMENT_DSET
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-06,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-07,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-08,1.9,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-09,1.9,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-10,1.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-11,1.8,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2017-12,1.5,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-01,1.4,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-02,1.2,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
HICP.M.DE.N.000000.4D0.ANR,M,DE,N,0,4D0,ANR,2018-03,1.7,,,,F,A,,,A,,,P1M,,4D0,,,,,,1,,HICP Inflation rate - Total - Annual rate of change,"Germany - HICP - Total, Annual rate of change, Statistical Office of the European Commission (Eurostat), Neither seasonally nor working day adjusted",PCCH,0,
